ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
14091,470000.0,2,1,1,46,0,0,0,2,0,0,42974.0,45277.0,54321.0,52932.0,46712.0,45537.0,3000.0,10000.0,0.0,6000.0,5000.0,10000.0,0
9065,100000.0,2,2,2,32,0,0,0,0,0,0,54933.0,56151.0,56677.0,58237.0,59643.0,63275.0,2700.0,2055.0,2500.0,2500.0,4800.0,2500.0,0
989,360000.0,2,2,2,25,2,2,2,2,2,2,286732.0,290690.0,284059.0,294308.0,297916.0,279503.0,10792.0,0.0,15000.0,5800.0,0.0,126685.0,0
11286,50000.0,1,3,2,26,2,2,2,0,0,0,22578.0,23720.0,23046.0,23314.0,23801.0,24354.0,1800.0,0.0,950.0,862.0,947.0,814.0,0
6013,360000.0,2,3,1,47,-2,-2,-2,-2,-2,-2,1458.0,-4.0,3994.0,0.0,0.0,7429.0,0.0,3998.0,0.0,0.0,7429.0,490.0,1
22674,100000.0,2,1,1,31,-1,-1,0,-1,-1,-1,6033.0,19922.0,40000.0,1133.0,22579.0,2834.0,19922.0,21000.0,1133.0,22579.0,2834.0,0.0,0
9245,90000.0,2,2,1,32,1,-1,-1,-1,-1,-1,0.0,323.0,0.0,2520.0,1651.0,0.0,323.0,0.0,2520.0,1651.0,0.0,0.0,0
20500,210000.0,1,1,2,29,0,0,0,0,0,0,183214.0,167757.0,170663.0,169291.0,140384.0,138574.0,6000.0,8000.0,5556.0,5100.0,5016.0,5200.0,0
22361,180000.0,2,2,2,31,-2,-2,-2,-2,-2,-2,0.0,2813.0,12937.0,50500.0,0.0,0.0,2813.0,12937.0,50500.0,0.0,0.0,0.0,0
21405,30000.0,2,2,2,35,0,0,0,0,-2,-2,29728.0,30479.0,13052.0,0.0,0.0,0.0,1779.0,3345.0,0.0,0.0,0.0,0.0,0
